Team,Attack,,,,Defense,,,
,mean,2.50%,median,97.50%,mean,2.50%,median,97.50%
Arsenal,0.165879715,-0.269499987,0.171398067,0.500935023,-0.035856218,-0.275043528,-0.055638947,0.217835405
Brighton,-0.088381339,-0.439444806,-0.095379062,0.35682636,0.186182982,-0.225296501,0.179499877,0.532469951
Chelsea,0.017751192,-0.421705735,0.026326615,0.388935555,-0.105740693,-0.556938381,-0.100151641,0.266319488
Crystal Palace,0.160214375,-0.049133538,0.151332255,0.395689443,0.049695788,-0.282276285,0.019034622,0.385243853
Everton,-0.076186136,-0.521017109,-0.024993261,0.230094548,0.02192127,-0.369299722,0.018135307,0.424184013
Southampton,-0.093613026,-0.532977297,-0.067855965,0.269567203,-0.010883402,-0.264264505,-0.019715199,0.304953908
Watford,0.133206091,-0.320080137,0.141774062,0.537630626,0.078817591,-0.279050364,0.068123266,0.476231234
West Brom,-0.167729375,-0.574935702,-0.147198558,0.142358711,0.048287845,-0.24153121,0.062212798,0.356659414
Man United,0.15740051,-0.228434464,0.150232253,0.583508651,-0.208893043,-0.669796038,-0.202338288,0.169696731
Newcastle,-0.153554043,-0.552102994,-0.156513964,0.235986639,0.000329127,-0.232980566,0.0129958,0.225300845
Bournemouth,-0.112135546,-0.370535509,-0.105835032,0.116301553,0.076889769,-0.241987936,0.069630446,0.474801118
Burnley,-0.139798784,-0.570785417,-0.127474699,0.297613937,-0.06603984,-0.452225123,-0.058938815,0.257646087
Leicester,0.10130754,-0.186451834,0.09265281,0.437957723,0.079156977,-0.287931441,0.072431005,0.471867815
Liverpool,0.178749435,-0.203302708,0.154364288,0.579238642,-0.1016537,-0.48196489,-0.099927105,0.258778275
Stoke,-0.122064801,-0.459429478,-0.106134541,0.259741068,0.149268313,-0.20382629,0.151795335,0.504232946
Swansea,-0.177992052,-0.673153582,-0.146131517,0.314618623,-0.037054905,-0.424070056,-0.012729468,0.256928908
Huddersfield,-0.178871122,-0.638744124,-0.161398609,0.314922713,0.070605571,-0.247236373,0.072733398,0.400954509
Tottenham,0.123119298,-0.237114061,0.1114659,0.59362715,-0.125432616,-0.528889468,-0.117923947,0.178844444
Man City,0.304239335,-0.065818783,0.294612602,0.715462653,-0.174171124,-0.623581678,-0.168073771,0.248987056
West Ham,-0.031541266,-0.134144367,-0.029192427,0.077529164,0.104570309,-0.253993073,0.101079467,0.460631241
,,,,,,,,
