,mean,2.5%,median,97.5%
Arsenal,-0.03585621844699777,-0.2750435280320706,-0.055638947366580455,0.21783540529063267
Brighton,0.18618298222477347,-0.22529650065657708,0.1794998774314398,0.532469951191596
Chelsea,-0.10574069320889691,-0.5569383807724182,-0.10015164114451135,0.2663194875329092
Crystal Palace,0.049695787964855874,-0.28227628481935707,0.01903462195310241,0.3852438533739827
Everton,0.021921270245095242,-0.369299722430253,0.018135307309836493,0.4241840134048374
Southampton,-0.010883402258877602,-0.26426450481295216,-0.019715198967529685,0.3049539079965453
Watford,0.07881759065803143,-0.2790503643485762,0.06812326637298552,0.4762312343653253
West Brom,0.04828784526198982,-0.24153120964656133,0.0622127977566852,0.35665941406063423
Man United,-0.20889304338428033,-0.6697960383735977,-0.2023382882558001,0.16969673095387997
Newcastle,0.0003291268616503505,-0.2329805659257599,0.012995800320399913,0.22530084526779567
Bournemouth,0.07688976891777394,-0.24198793568487925,0.06963044617397425,0.47480111784442547
Burnley,-0.06603984034560502,-0.45222512305403667,-0.05893881504966103,0.25764608711872183
Leicester,0.07915697739128193,-0.2879314414049983,0.07243100538117159,0.47186781491314234
Liverpool,-0.10165369994213411,-0.481964890141069,-0.09992710472278243,0.25877827469815873
Stoke,0.14926831320324474,-0.20382628989232554,0.15179533480313034,0.5042329464806063
Swansea,-0.03705490518366971,-0.4240700559039089,-0.012729468484338181,0.2569289075356581
Huddersfield,0.07060557109831751,-0.24723637262058357,0.07273339847224286,0.4009545087980657
Tottenham,-0.12543261603512412,-0.5288894678564777,-0.11792394701191154,0.1788444443416383
Man City,-0.17417112356724704,-0.623581677736416,-0.1680737707009961,0.24898705623676726
West Ham,0.10457030854581864,-0.2539930733708376,0.10107946701231296,0.46063124136030875
