MatchNo,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home Form,Away Form,Home Streak,Away Streak
1,1,13,4,3,0,2,2,2,27,6,10,3,9,12,9,4,0,1,0,0,1.33,0.6699999999999999,0.0,0.0
2,2,19,0,2,1,0,0,2,6,14,2,4,6,9,3,10,0,2,0,0,0.6699999999999999,1.33,0.0,0.0
3,3,12,2,3,1,0,3,1,19,10,6,5,16,11,8,5,3,3,2,0,0.6699999999999999,1.33,0.0,0.0
4,4,17,0,3,1,0,2,1,14,8,4,6,7,19,12,9,1,3,0,0,0.6699999999999999,1.33,0.0,0.0
5,5,15,1,0,0,1,0,0,9,9,4,1,13,10,6,7,1,1,0,0,1.33,0.6699999999999999,0.0,0.0
6,6,16,0,0,2,0,0,2,29,4,2,0,10,13,13,0,2,1,0,0,1.0,1.0,0.0,0.0
7,7,14,3,3,2,2,1,0,9,14,4,5,14,8,3,3,0,3,0,0,1.0,1.0,0.0,0.0
8,8,11,1,0,0,1,0,0,16,9,6,2,15,3,8,2,3,1,0,0,1.33,0.6699999999999999,0.0,0.0
9,9,20,4,0,0,1,0,0,22,9,6,1,19,7,11,1,2,2,0,0,1.33,0.6699999999999999,0.0,0.0
10,10,18,0,2,1,0,0,2,6,18,3,6,6,10,5,7,1,2,1,0,0.6699999999999999,1.33,0.0,0.0
11,11,7,0,2,1,0,0,2,6,19,2,7,6,14,8,5,1,3,0,0,0.6699999999999999,1.33,0.0,0.0
12,12,8,0,1,1,0,0,2,20,8,0,1,11,11,5,5,1,0,0,1,0.6699999999999999,1.33,0.0,0.0
13,13,2,2,0,0,1,0,0,14,5,4,2,8,10,6,2,1,0,0,0,1.33,0.6699999999999999,0.0,0.0
14,14,4,1,0,0,0,0,2,23,4,13,1,12,13,4,2,1,3,0,0,1.33,0.6699999999999999,0.0,0.0
15,6,20,3,2,0,2,1,0,14,16,5,8,18,10,7,2,1,1,0,1,1.2211,0.4489,0.0,0.0
16,15,1,1,0,0,0,0,2,11,18,4,6,6,11,2,9,0,0,0,0,1.33,0.6699999999999999,0.0,0.0
17,16,9,0,4,1,0,1,1,6,17,1,8,12,11,3,5,1,1,0,0,0.6699999999999999,1.33,0.0,0.0
18,17,10,1,0,0,0,0,2,7,13,3,5,13,10,7,3,3,4,0,0,1.33,0.6699999999999999,0.0,0.0
19,18,3,1,2,1,0,1,1,18,9,6,2,14,21,14,3,3,3,0,0,0.6699999999999999,1.33,0.0,0.0
20,19,5,1,1,2,0,1,1,19,7,6,2,7,9,7,1,1,2,1,1,1.0,1.0,0.0,0.0
21,11,19,1,2,1,1,1,2,9,19,3,8,13,14,2,5,5,4,0,1,0.4489,1.5511,0.0,0.0
22,4,16,0,2,1,0,1,1,16,7,3,3,9,6,1,1,4,1,0,0,0.4489,1.2211,0.0,0.0
23,17,6,0,0,2,0,0,2,16,6,6,3,10,10,5,4,0,1,0,0,1.2211,1.1089,0.0,0.0
24,9,13,2,0,0,0,0,2,22,11,7,4,8,7,9,3,1,2,0,0,1.5511,0.4489,0.0,0.0
25,10,20,3,0,0,1,0,0,16,8,8,3,17,11,7,5,1,3,0,0,0.8181369999999999,0.300763,0.0,0.0
26,7,2,0,0,2,0,0,2,8,16,0,2,7,18,3,11,0,1,1,0,0.8911,0.7788999999999999,0.0,0.0
27,3,5,2,0,0,2,0,0,18,7,7,0,12,7,6,3,2,2,0,0,1.0,0.6699999999999999,0.0,0.0
28,14,1,4,0,0,2,0,0,18,8,10,0,6,9,4,3,2,4,0,0,1.5511,0.4489,0.0,0.0
29,18,12,1,1,2,0,0,2,28,13,5,3,9,9,10,7,0,0,0,0,0.8877999999999999,1.1122,0.0,0.0
30,8,15,1,1,2,0,0,2,10,16,2,2,10,9,10,4,2,2,0,0,1.1122,0.8877999999999999,0.0,0.0
31,1,11,3,0,0,2,0,0,17,7,9,2,14,10,10,3,0,1,0,0,1.5511,0.4489,0.0,0.0
32,2,8,3,1,0,1,0,0,12,12,6,3,9,4,2,6,2,0,0,0,1.1089,0.8911,0.0,0.0
33,5,18,0,3,1,0,2,1,12,15,1,6,14,14,7,3,3,1,0,0,0.8911,1.7689,0.0,0.0
34,13,3,1,2,1,0,1,1,8,16,2,6,11,8,2,9,1,0,0,0,0.8911,1.7689,0.0,0.0
35,19,14,5,0,0,2,0,0,13,10,7,3,10,9,8,3,2,2,0,1,1.33,0.6699999999999999,0.0,0.0
36,6,7,0,2,1,0,1,1,9,12,1,3,8,11,7,4,0,0,0,0,0.818137,1.7329630000000005,0.0,0.0
37,15,9,2,2,2,1,1,2,10,18,5,8,10,10,5,11,0,0,0,0,1.33,1.33,0.0,0.0
38,12,4,1,0,0,1,0,0,4,23,2,5,7,14,3,13,1,1,0,0,0.8910999999999999,0.4489,0.0,0.0
39,16,10,0,1,1,0,0,2,10,16,4,8,11,15,7,5,2,3,0,0,0.4489,0.8910999999999999,0.0,0.0
40,20,17,2,0,0,0,0,2,19,10,3,2,11,14,10,3,1,2,0,0,1.4389,0.8911,0.0,0.0
41,11,2,2,1,0,0,0,2,15,9,3,2,5,12,6,4,0,0,0,0,0.7059369999999999,0.521863,0.0,0.3333333333333333
42,4,6,0,1,1,0,1,1,14,13,3,4,14,13,5,5,5,1,0,0,0.300763,1.2570370000000002,0.0,0.4166666666666667
43,17,13,1,1,2,0,0,2,15,10,3,1,6,6,8,4,1,1,0,0,0.966274,0.7037260000000001,0.5833333333333334,0.25
44,14,12,1,1,2,1,1,2,35,5,9,4,7,9,12,2,1,2,0,0,1.4062629999999998,1.2570370000000002,0.5833333333333334,0.5833333333333334
45,10,15,2,1,0,1,0,0,14,13,3,4,13,11,7,5,3,1,0,0,1.111111,0.5948259999999999,0.5,0.4166666666666667
46,18,16,0,0,2,0,0,2,26,4,8,0,11,9,11,1,1,3,0,0,0.9977889999999999,1.111111,0.5833333333333334,0.3333333333333333
47,7,19,0,6,1,0,3,1,7,28,1,10,8,6,3,11,2,0,0,0,0.597037,1.845163,0.6666666666666666,0.8333333333333334
48,8,20,0,0,2,0,0,2,6,9,1,1,15,7,2,3,2,2,0,0,0.8444257900000001,0.56853721,0.5833333333333334,0.25
49,3,1,0,0,2,0,0,2,13,11,4,2,11,15,5,1,1,3,1,0,0.818137,0.630763,0.75,0.5
50,9,5,4,0,0,1,0,0,16,7,7,3,15,14,4,1,1,1,0,0,1.7722000000000002,0.4489,0.8333333333333334,0.3333333333333333
51,12,17,0,0,2,0,0,2,5,9,3,2,9,13,3,4,3,2,0,0,0.8910999999999999,0.8911,0.4166666666666667,0.4166666666666667
