team,W,D,L,GF,GA,Pts
Arsenal,19,6,13,74,51,63
Bournemouth,11,11,16,45,61,44
Brighton,9,13,16,34,54,40
Burnley,14,12,12,36,39,54
Chelsea,21,7,10,62,38,70
Crystal Palace,11,11,16,45,55,44
Everton,13,10,15,44,58,49
Huddersfield,9,10,19,28,58,37
Leicester,12,11,15,56,60,47
Liverpool,21,12,5,84,38,75
Man City,32,4,2,106,27,100
Man United,25,6,7,68,28,81
Newcastle,12,8,18,39,47,44
Southampton,7,15,16,37,56,36
Stoke,7,12,19,35,68,33
Swansea,8,9,21,28,56,33
Tottenham,23,8,7,74,36,77
Watford,11,8,19,44,64,41
West Brom,6,13,19,31,56,31
West Ham,10,12,16,48,68,42
