Unnamed: 0,Team,i,goals_scored,goals_lost,Pts
0,Arsenal,1,74,51,63.0
1,Brighton,2,34,54,40.0
2,Chelsea,3,62,38,70.0
3,Crystal Palace,4,45,55,44.0
4,Everton,5,44,58,49.0
5,Southampton,6,37,56,36.0
6,Watford,7,44,64,41.0
7,West Brom,8,31,56,31.0
8,Man United,9,68,28,81.0
9,Newcastle,10,39,47,44.0
10,Bournemouth,11,45,61,44.0
11,Burnley,12,36,39,54.0
12,Leicester,13,56,60,47.0
13,Liverpool,14,84,38,75.0
14,Stoke,15,35,68,33.0
15,Swansea,16,28,56,33.0
16,Huddersfield,17,28,58,37.0
17,Tottenham,18,74,36,77.0
18,Man City,19,106,27,100.0
19,West Ham,20,48,68,42.0
